id,ordemdecompra,categoria,descricao,parcelamento,numcard,datacompra,previsao,qtd,fornecedor,recebido,medida
1040,4210260413,Vidro / Espelho,ESPELHO PRATA JATEADO 4MM - 94X2556,0,,,,1,VALTER,2024-08-28,
1041,4210260413,Tapeçaria,CABECEIRA ESTOFADA - TECIDO LINHO 2863-001,0,,2024-08-22,2024-09-20,1,RD TAPEÇARIA,2024-09-23,
1042,4200552701,Vidro / Espelho,ESPELHO PRATA 4MM - 350X650,0,,,,1,VALTER,2024-09-24,
1043,4200552701,Vidro / Espelho,VIDRO INCOLOR 6MM - 350X350,0,,,,1,VALTER,2024-09-24,
1044,4210259702,Acessorios Avulsos,PUXADOR ABA DOURADO 18MM BARRA,0,,2024-10-23,2024-11-01,10,LEO MADEIRAS,2024-11-04,
1045,4210259705,Porta de Aluminio,PORTA DESLIZ.C/ESPELHO PRATA PERFIL FINO E PUX. 098 PRATA - 889X637,0,,2024-09-27,2024-10-12,1,VALTER,2024-10-18,
1046,4200551202,Porta de Aluminio,PORTA ESPELHO PRATA - 935 X 465,0,,2024-09-25,2024-10-10,1,VALTER,2024-10-18,
1047,4200541804,Porta de Aluminio,PORTA ALUM PERFIL E PUX PRETO COM VIDRO INCOLOR - 795X626,0,,2024-10-01,2024-10-16,1,VALTER,2024-11-26,
1048,4200541806,Porta de Aluminio,PORTA DESLIZ. PUX E PERFIL PRATA - ESPELHO PRATA - 2320X785,0,,2024-10-01,2024-10-16,2,VALTER,2024-11-26,
1049,4200547201,Serralheria,SUPORTE METALON PRETO FOSCO - CRISTALEIRA,0,,2024-09-27,2024-10-28,1,METAL ITALO,2024-11-12,
1050,4200555301,Porta de Aluminio,"PORTA CORRER PERFIL E PUX ALUM. PRATA 098 824X675

 ESPELHO PRATA 824X67,5",0,,,,1,VALTER,2024-10-22,
1051,4210252502,Serralheria,PRATELEIRA EM EM METALON - DOURADO,0,,2024-10-04,2024-11-04,1,METAL ITALO,2024-11-19,
1052,4210252502,Acessorios Avulsos,FECHO ROLETE DOURADO CHAVE 1 LADO ROSETA QUADRADA,7,950.0,2024-10-03,2024-10-09,1,MERCADO LIVRE,2024-10-08,
1053,4210252502,Serralheria,MOLDURA EM METALON COR BRONZE,0,,2024-10-04,2024-11-04,1,METAL ITALO,2024-11-19,
1054,4210252502,Acessorios Avulsos,FECHO ROLETE DOURADO SEM CHAVE ROSETA QUADRADA - NÃO VENDE NESSA COR SEM CHAVE - USAR COMUM,0,,,,1,ESTOQUE,2024-10-03,
1055,4210258401,Acessorios Avulsos,LIXEIRA DUPLA,0,,,,1,ESTOQUE,2024-10-03,
1056,4210258407,Porta de Aluminio,2 PORTAS DESLIZ.ESPELHO PRATA PERFIL E PUX. FINO PRATA  1049 X 917,0,,2024-10-01,2024-10-16,2,VALTER,2024-10-22,
1057,4210258410,Vidro / Espelho,ESPELHO PRATA  1068 X 517 = 4MMLAP.CANTO RETO,0,,2024-10-01,2024-10-16,1,VALTER,2024-10-18,
1058,4200539105,Trilho,TRILHO RM 27 INDIVIDUAL DE 1182MM,0,,,,2,,2024-10-23,
1059,4210252506,Porta de Aluminio,PORTA DESLIZ. PERFIL FINO PUX.098 E VIDRO REFLECTA BRONZE  2392 X 700 C/CANAL GUIA,0,,,,2,VALTER,2024-11-04,
1060,4210252508,Serralheria,ESTRUTURA METALON (BARRA) 30X20 - DOURADO,0,,2024-10-04,2024-11-04,3,METAL ITALO,2024-11-19,
1061,4210252508,Acessorios Avulsos,FECHO ROLETE CHAVE 1 LADO ROSÉ GOLD ROSETA QUADRADA,1,950.0,2024-10-03,2024-10-08,1,MERCADO LIVRE,2024-10-08,
1062,4210252508,Acessorios Avulsos,PUX CONCHA NEXT PZ1090 DOURADO 64MM,12,950.0,2024-10-08,2024-10-10,18,MERCADO LIVRE,2024-10-10,
1063,4200547301,Serralheria,ESTRUTURA METALON PARA MESA 30X30 - PRETO FOSCO,0,,2024-10-03,2024-11-03,1,METAL ITALO,2024-11-05,
1064,4210198201,Acessorios Avulsos,LIXEIRA DUPLA BLINDADA 20LTS -MODELO: 2067,0,,,,1,ESTOQUE,2024-10-31,
1065,4210198201,Porta de Aluminio,PORTA PERFIL E PUX 098 COR PRETO E VIDRO REFL PRATA 2112x347mm,0,,,,2,VALTER,2024-11-12,
1066,4210198201,Serralheria,ESTRUTURA METALON PARA PRATELEIRA - 20X20 PRETO,0,,2024-10-03,2024-11-03,1,METAL ITALO,2024-11-05,
1067,4210198202,Porta de Aluminio,PORTA PX PERFIL FINO PRETO FOSCO - VIDRO INCOLOR 1564 X 396,0,,,,1,VALTER,2024-11-25,
1068,4210198204,Porta de Aluminio,PORTA DESL. PERFIL E PUX. FINO 098 - ESPELHO  2300 X 710,0,,,,2,VALTER,2024-11-12,
